name=AzimuthSensor vendor=Kyle current_time_ms=1561445543718
m_t m_x m_y m_z a_t a_x a_y a_z g_t g_x g_y g_z direction_degrees
281255593 0 -51.45847 -51.646812 -146.089 0 -0.48567528 1.8818991 9.592438 0 0.009306893 -0.15570748 -0.8910817 111.47939016103749
281255626 0 -51.744236 -51.25853 -146.20468 0 -0.49015883 1.9005309 9.587712 0 -0.0015459112 -0.14821464 -0.8337519 110.77825075216822
281255659 0 -52.010555 -50.913406 -146.31923 0 -0.48307395 1.9129847 9.605928 0 -0.0029307983 -0.14148304 -0.7801899 110.30370286901405
281255692 0 -52.248524 -50.564884 -146.44995 0 -0.45879653 1.9277775 9.610828 0 0.006987693 -0.13562903 -0.7302586 109.82405283454989
281255725 0 -52.580017 -50.16445 -146.56613 0 -0.4378681 1.955329 9.605965 0 0.013731988 -0.124903165 -0.66977406 109.06605893102937
281255758 0 -52.802204 -49.896362 -146.66519 0 -0.4274757 1.9844034 9.595874 0 0.01230292 -0.1139487 -0.6311402 108.38009620249585
281255791 0 -52.997406 -49.624153 -146.77867 0 -0.41848862 2.0050902 9.576023 0 0.007060982 -0.10487992 -0.5957644 107.76908796991404
281255824 0 -53.23442 -49.214756 -146.90544 0 -0.40595526 2.0068877 9.567312 0 0.0052823313 -0.09813042 -0.5610654 107.31714118272345
281255857 0 -53.416584 -48.966568 -146.98105 0 -0.39965618 2.018951 9.562928 0 0.01154307 -0.08732468 -0.51412064 106.88496779318007
281255890 0 -53.571247 -48.767086 -147.03018 0 -0.3972756 2.0419142 9.555777 0 0.011157358 -0.08179564 -0.48363274 106.34127790505784
281255923 0 -53.722607 -48.572388 -147.09807 0 -0.3942531 2.0648267 9.550938 0 0.006097718 -0.07655555 -0.45601043 105.80704782893616
281255956 0 -53.908577 -48.27899 -147.1835 0 -0.38800365 2.0711575 9.559736 0 -9.211083E-5 -0.07303476 -0.4307957 105.44717882194652
281255989 0 -54.03651 -48.062054 -147.24791 0 -0.37907773 2.076545 9.56262 0 0.0046256473 -0.06990946 -0.39966273 105.17266668901453
